Indicator,Request URL
Volume Oscillator,https://api.taapi.io/vosc?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}&short_period=10&long_period=50
Volume Weighted Average Price (VWAP),https://api.taapi.io/vwap?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Volume Weighted Moving Average,https://api.taapi.io/vwma?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}&period=50
Williams Accumulation/Distribution (A/D),https://api.taapi.io/wad?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Weighted Close Price,https://api.taapi.io/wclprice?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Wilders Smoothing,https://api.taapi.io/wilders?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}&period=50
Williams’ %R,https://api.taapi.io/willr?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Weighted Moving Average,https://api.taapi.io/wma?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Upside/Downside Gap Three Methods,https://api.taapi.io/xsidegap3methods?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Zero-Lag Exponential Moving Average,https://api.taapi.io/zlema?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}&period=50
